time,EngineState,MotorSpeed,Bat,Ie,Power,MotorTemp,InvTemp,PCodeActive,EthtDeg,Enc485Pos,Enc6825Pos,HALL_U,HALL_V,HALL_W,HALL_Idx,EncABZLine,EncABZCw,Enc485Cw,Enc6825Cw,SMO_U,SMO_E,SMO_I,SMO_EstI,OBS_ThtCorr,OBS_ThtDiff,OBS_ThtErr,Hall_Tht1,Hall_Tht2,Hall_Tht3,Hall_Tht4,Hall_Tht5,Hall_Tht6,OBS_ThtCorr1,OBS_ThtCorr2,OBS_ThtCorr3,OBS_ThtCorr4,OBS_ThtCorr5,OBS_ThtCorr6,OBS_ThtCorr7,OBS_ThtCorr8,OBS_ThtCorr9,OBS_ThtCorr10,OBS_ThtCorr11,OBS_ThtCorr12,OBS_ThtCorr13,OBS_ThtCorr14,OBS_ThtCorr15,OBS_ThtCorr16,OBS_ThtCorr17,
7-5_16:55:53.2728450,3,2998,148.58,0.9922,0.1465,29.22,250,0,143,0,65535,0,0,0,0,1024,1,0,0,132.8,61.92,0.8672,1.2344,44,46,1,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:53.5560767,3,2998,148.53,1,0.1504,29.25,250,0,54,0,65535,0,0,0,0,1024,1,0,0,133.77,57.92,0.7578,1.3984,44,46,2,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:53.8110759,3,2996,148.53,0.9922,0.1504,29.28,250,0,160,0,65535,0,0,0,0,1024,1,0,0,134.47,59.5,0.7734,1.5469,44,46,1,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:54.0819614,3,2998,148.58,0.9844,0.1484,29.27,250,0,113,0,65535,0,0,0,0,1024,1,0,0,134.94,56.92,0.8906,1.6406,44,46,4,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:54.3662907,3,2998,148.62,0.9844,0.1465,29.28,250,0,229,0,65535,0,0,0,0,1024,1,0,0,135.28,60.7,1.1406,1.7891,44,47,4,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:54.6384738,3,3000,148.58,1.0156,0.1504,29.3,250,0,336,0,65535,0,0,0,0,1024,1,0,0,135.52,58.92,0.8906,1.7891,44,48,6,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:54.9094043,3,3002,148.58,0.9844,0.1504,29.33,250,0,244,0,65535,0,0,0,0,1024,1,0,0,135.69,62.34,1.3203,1.4531,44,48,-1,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:55.1793979,3,3001,148.53,1,0.1504,29.35,250,0,3,0,65535,0,0,0,0,1024,1,0,0,135.81,57.94,0.9453,1.4688,44,48,7,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:55.4496522,3,2996,148.58,0.9766,0.1484,29.38,250,0,155,0,65535,0,0,0,0,1024,1,0,0,135.89,60.25,0.8203,1.2969,44,47,-2,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:55.7186465,3,3002,148.58,0.9609,0.1484,29.39,250,0,64,0,65535,0,0,0,0,1024,1,0,0,135.95,60.72,0.7812,1.3125,44,47,-1,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:56.0029666,3,2998,148.58,0.9609,0.1465,29.41,250,0,181,0,65535,0,0,0,0,1024,1,0,0,135.97,58.34,1.2031,1.8984,44,46,-2,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:56.2558772,3,2998,148.53,0.9766,0.1445,29.43,250,0,137,0,65535,0,0,0,0,1024,1,0,0,136,59.86,1.0703,1.1328,44,46,0,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:56.5420964,3,3002,148.58,0.9453,0.1445,29.45,250,0,240,0,65535,0,0,0,0,1024,1,0,0,136,59.03,1.1562,1.5469,44,45,1,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:56.8119722,3,2999,148.58,0.9609,0.1455,29.46,250,0,1,0,65535,0,0,0,0,1024,1,0,0,136.03,59.38,1.0078,2.0312,44,45,1,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:57.0817091,3,3003,148.62,1.0156,0.1484,29.47,250,0,277,0,65535,0,0,0,0,1024,1,0,0,136.12,59.22,1.0391,2.2344,44,46,1,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:57.3490295,3,2998,148.53,1.0547,0.1572,29.48,250,0,74,0,65535,0,0,0,0,1024,1,0,0,136.16,58.5,0.9141,1.625,44,45,-1,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:57.6193287,3,2994,148.58,1.1719,0.1738,29.48,250,0,2,0,65535,0,0,0,0,1024,1,0,0,136.3,58.62,1.4609,1.7031,44,46,1,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:57.8883250,3,3008,148.67,1.4219,0.2109,29.52,250,0,202,0,65535,0,0,0,0,1024,1,0,0,136.69,60.05,1.2969,2.0859,45,47,0,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:58.1425243,3,2982,148.47,1.6016,0.2373,29.53,250,0,203,0,65535,0,0,0,0,1024,1,0,0,136.92,59.67,2.0391,2.5469,45,47,4,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:58.4277653,3,2973,148.38,2.2422,0.3184,29.55,250,0,86,0,65535,0,0,0,0,1024,1,0,0,138,56.73,2.4844,2.7266,46,48,10,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:58.6977019,3,2952,148.23,4.1016,0.501,29.42,250,0,29,0,65535,0,0,0,0,1024,1,0,0,139.83,61.66,4.7422,6.3516,49,51,11,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:58.9809478,3,2903,148.23,5.5859,0.7236,29.6,250,0,212,0,65535,0,0,0,0,1024,1,0,0,142.41,73.94,7.3359,9.0781,51,55,15,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:59.2499874,3,2650,147.95,7.7188,1.1426,29.26,250,0,354,0,65535,0,0,0,0,1024,1,0,0,144.09,69.47,11.9062,13.25,56,59,23,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:59.5202288,3,2641,148,9.6484,1.3809,29.44,250,0,73,0,65535,0,0,0,0,1024,1,0,0,145.3,64.64,8.9062,8.6406,59,63,16,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:55:59.8043156,3,2675,148.14,10.2344,1.4902,29.63,250,0,49,0,65535,0,0,0,0,1024,1,0,0,146.12,65.72,8.2578,9.7891,59,66,11,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:00.0589285,3,2663,148.09,10.4844,1.582,29.69,250,0,272,0,65535,0,0,0,0,1024,1,0,0,146.69,64.84,12.6953,12.5469,59,68,11,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:00.3431613,3,2584,148.09,10.8516,1.5713,30.32,250,0,121,0,65535,0,0,0,0,1024,1,0,0,147.09,64.5,8.8203,10.8906,60,70,12,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:00.6144379,3,2498,148.09,11.2266,1.6152,30.1,250,0,218,0,65535,0,0,0,0,1024,1,0,0,147.36,62.94,13.4609,14.8594,61,72,17,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:00.8966113,3,2499,147.84,12.1953,1.8066,29.93,250,0,103,0,65535,0,0,0,0,1024,1,0,0,147.55,61.41,10.7188,10.1641,63,73,10,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:01.1510876,3,2531,148.05,12.2031,1.7705,29.91,250,0,350,0,65535,0,0,0,0,1024,1,0,0,147.67,58.64,14.4062,14.6797,62,74,17,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:01.4344129,3,2475,147.89,12.7344,1.9404,30.05,250,0,264,0,65535,0,0,0,0,1024,1,0,0,147.77,58.81,15.3672,14.8203,63,75,12,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:01.7053276,3,2486,148,13.0234,2.0049,30.05,250,0,278,0,65535,0,0,0,0,1024,1,0,0,147.83,58.31,16.1172,15.625,64,76,12,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:01.9756048,3,2454,147.89,13.0156,2.0137,30.29,250,0,277,0,65535,0,0,0,0,1024,1,0,0,147.86,57.38,16.9844,15.7109,64,76,16,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:02.2606370,3,2425,147.89,13.6172,2.0107,30.11,250,0,116,0,65535,0,0,0,0,1024,1,0,0,147.89,58.31,12.0078,12.5391,65,77,9,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:02.5140175,3,2403,147.61,13.7188,2.001,30.47,250,0,61,0,65535,0,0,0,0,1024,1,0,0,147.89,59.72,13.7344,14.2188,65,78,17,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:02.7978896,3,2356,147.95,14.7109,2.1387,30.31,250,0,132,0,65535,0,0,0,0,1024,1,0,0,147.91,53.53,12.1719,13.375,66,78,13,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:03.0677782,3,2360,147.84,15.0781,2.2441,30.41,250,0,261,0,65535,0,0,0,0,1024,1,0,0,147.92,55.02,15.9062,17.2578,67,79,13,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:03.3509820,3,2406,147.61,13.7969,2.1221,30.62,250,0,65,0,65535,0,0,0,0,1024,1,0,0,147.91,55.55,13.8359,13.4141,65,79,15,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:03.6323116,3,2445,147.95,13.375,1.9775,30.73,250,0,342,0,65535,0,0,0,0,1024,1,0,0,147.91,51.58,14.4219,15.4531,64,80,18,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
7-5_16:56:03.9030984,3,2414,147.56,13.6094,2.0098,31.03,250,0,90,0,65535,0,0,0,0,1024,1,0,0,147.91,51.83,12.7656,12.6562,65,80,14,0,0,0,0,0,0,45,45,47,55,62,70,72,9,0,85,-72,-69,-61,-54,-45,-43,-43,
